SolNbr,Sno,Wt,x,y,z,l,w,h,WtLF,SAPer,OrderNbr,Volume
1.0,3,182.66400000000002,9.155666666666667,5.500249999999999,5.2875,4.953333333333333,3.18,4.654999999999999,2.0,50.0,3.0,103.69777777777777
1.0,90,260.59932885580116,9.382000000000001,1.8366666666666667,4.884833333333333,2.49,2.06,3.9305,2.0,50.0,22.0,65.52000000000001
1.0,123,354.538369879,11.167583333333333,0.0,0.0,4.9366666666666665,4.492,3.9049166666666664,2.0,50.0,25.0,32.638888888888886
1.0,99,265.4142834248751,11.872000000000002,0.0,3.9049166666666664,5.9559999999999995,4.053333333333334,5.178833333333333,2.0,50.0,22.0,40.83777777777778
1.0,97,168.89103214725674,13.391291666666667,5.500249999999999,0.0,2.6366666666666667,3.436,3.8703333333333334,2.0,50.0,22.0,40.38444444444445
1.0,38,137.67363981494032,14.109,5.500249999999999,3.8703333333333334,2.4154166666666668,3.1439166666666667,3.3956666666666666,2.0,50.0,6.0,12.093973668981484
1.0,2,164.3278811881188,14.109,5.500249999999999,7.266,3.21,2.7800000000000002,2.73375,2.0,50.0,2.0,41.01
1.0,85,164.1881575262525,16.027958333333334,5.500249999999999,0.0,4.51,2.232,3.8645833333333335,2.0,50.0,22.0,50.821111111111115
1.0,46,766.469,16.10425,0.0,0.0,4.773083333333333,2.916,3.687833333333333,2.0,50.0,11.0,82.1731111111111
1.0,110,147.8110355143092,16.10425,2.916,0.0,3.052,2.5033333333333334,1.9144999999999999,2.0,50.0,22.0,64.77333333333334
1.0,92,102.05551751433832,16.524416666666667,5.500249999999999,3.8645833333333335,3.7733333333333334,4.368,3.3985,2.0,50.0,22.0,39.24666666666667
1.0,70,311.36,17.319,5.500249999999999,7.263083333333333,4.892,3.8033333333333337,2.71425,2.0,50.0,19.0,27.3
1.0,33,563.2643697986288,17.828000000000003,0.0,3.687833333333333,2.8233333333333333,2.984,3.624,2.0,50.0,5.0,33.44
1.0,86,219.55116867475735,17.828000000000003,0.0,7.3118333333333325,3.0333333333333337,3.2640000000000002,2.4325,2.0,50.0,22.0,60.10666666666667
1.0,42,360.72180650288067,20.537958333333336,5.500249999999999,0.0,6.154166666666667,4.3155,3.622125,2.0,50.0,9.0,74.86171875
1.0,100,295.1109864654206,20.537958333333336,5.500249999999999,3.622125,2.716666666666667,3.684,3.3848333333333334,2.0,50.0,22.0,62.50888888888889
1.0,109,115.76961996014577,20.877333333333333,0.0,0.0,5.84,4.763333333333334,4.9857499999999995,2.0,50.0,22.0,35.93333333333333
1.0,88,131.4294303044431,20.877333333333333,0.0,4.9857499999999995,4.91,4.864,2.4850000000000003,2.0,50.0,22.0,38.5
1.0,39,84.90599999999999,20.877333333333333,0.0,7.47075,4.193333333333333,3.568,1.896125,2.0,50.0,7.0,30.20111111111111
1.0,41,440.41222435600287,23.254625000000004,5.500249999999999,3.622125,5.716,4.151,3.293708333333333,2.0,50.0,9.0,78.39824999999999
1.0,115,74.3944432483049,23.254625000000004,5.500249999999999,6.9158333333333335,3.3015000000000003,2.805,1.6088333333333331,2.0,50.0,24.0,13.146206597222223
1.0,91,326.15264888280234,26.692125000000004,5.500249999999999,0.0,3.68,3.128,2.791666666666667,2.0,50.0,22.0,73.44444444444446
1.0,58,382.495,26.717333333333332,0.0,0.0,4.83,3.484,2.1319999999999997,2.0,50.0,16.0,64.73444444444445
1.0,98,197.04999830028606,26.717333333333332,0.0,2.1319999999999997,3.7033333333333336,2.624,1.9640833333333334,2.0,50.0,22.0,56.52111111111111
1.0,55,318.6644332055536,30.372125000000004,5.500249999999999,0.0,5.223958333333333,4.064,9.5,2.0,50.0,15.0,51.56666666666666
1.0,124,752.7086788280817,20.877333333333333,4.864,0.0,9.625,0.5900000000000001,8.433333333333334,2.0,50.0,25.0,81.59722222222221
1.0,25,256.033272965087,26.717333333333332,3.484,0.0,5.4550833333333335,0.8066666666666666,8.071,2.0,50.0,5.0,37.07977777777778
1.0,44,605.7,32.17241666666666,0.0,0.0,4.293333333333333,4.4944999999999995,7.668958333333332,2.0,50.0,11.0,46.170677083333324
1.0,111,221.21044383783234,35.59608333333334,5.500249999999999,0.0,5.596,2.526666666666667,7.650666666666666,2.0,50.0,23.0,73.1288888888889
1.0,48,441.336,36.46575,0.0,0.0,5.9079999999999995,2.555625,7.491833333333333,2.0,50.0,11.0,82.28508333333333
1.0,57,826.8664111071738,36.46575,2.555625,0.0,4.725,2.452,7.1241666666666665,2.0,50.0,15.0,104.01975
1.0,114,138.23674540682413,11.167583333333333,4.492,0.0,2.630333333333333,0.7313333333333333,6.69,2.0,50.0,24.0,21.56266666666666
1.0,52,802.842,41.19208333333334,5.500249999999999,0.0,5.1,3.3362499999999997,6.66,2.0,50.0,12.0,89.10833333333333
1.0,101,187.91324093364477,41.19075,2.555625,0.0,5.616,2.6566666666666667,6.051583333333333,2.0,50.0,22.0,46.459999999999994
